x,y,z,distance
579.1029052734375,-20.228599548339844,-138.0721435546875,3715.6650390625
580.2546997070312,-20.259828567504883,-138.10084533691406,3716.81689453125
582.0023193359375,-20.301279067993164,-138.1488800048828,3718.564453125
583.6615600585938,-20.343435287475586,-138.2006072998047,3720.22412109375
585.509521484375,-20.385438919067383,-138.26722717285156,3722.07275390625
587.515625,-20.434185028076172,-138.34906005859375,3724.079833984375
589.5392456054688,-20.484817504882812,-138.4354705810547,3726.1044921875
591.8125610351562,-20.535619735717773,-138.53057861328125,3728.379150390625
594.1491088867188,-20.591684341430664,-138.6442413330078,3730.717529296875
596.7693481445312,-20.654264450073242,-138.79891967773438,3733.341064453125
599.051025390625,-20.71037483215332,-138.94338989257812,3735.6259765625
601.8278198242188,-20.77719497680664,-139.12893676757812,3738.4072265625
604.5237426757812,-20.852428436279297,-139.31008911132812,3741.107421875
607.26611328125,-20.937938690185547,-139.4854736328125,3743.85400390625
610.1722412109375,-21.03366470336914,-139.6422882080078,3746.88720703125
612.8040161132812,-21.142417907714844,-139.75567626953125,3749.67626953125
615.3444213867188,-21.25143051147461,-139.830078125,3752.367919921875
617.6036987304688,-21.347639083862305,-139.85789489746094,3754.763427734375
620.1543579101562,-21.446805953979492,-139.8203887939453,3757.474853515625
622.2578125,-21.524490356445312,-139.7146453857422,3759.721923828125
624.452880859375,-21.619075775146484,-139.53367614746094,3762.081787109375
626.7474365234375,-21.710525512695312,-139.28323364257812,3764.56787109375
628.6713256835938,-21.786348342895508,-139.01895141601562,3766.671875
630.8671264648438,-21.8675537109375,-138.65843200683594,3769.113037109375
633.108154296875,-21.956403732299805,-138.22714233398438,3771.697509765625
635.2839965820312,-22.04735565185547,-137.7469940185547,3774.201416015625
637.5650634765625,-22.145492553710938,-137.17710876464844,3776.82861328125
639.9404907226562,-22.253334045410156,-136.51068115234375,3779.6396484375
642.4068603515625,-22.355998992919922,-135.7218017578125,3782.517578125
644.8713989257812,-22.454591751098633,-134.80130004882812,3785.44189453125
647.4404296875,-22.560409545898438,-133.6923370361328,3788.5654296875
649.7747802734375,-22.665157318115234,-132.53286743164062,3791.497314453125
652.069580078125,-22.776708602905273,-131.22970581054688,3794.486083984375
654.3685913085938,-22.901098251342773,-129.76123046875,3797.544189453125
656.8442993164062,-23.046289443969727,-127.98624420166016,3800.938720703125
659.1846923828125,-23.197307586669922,-126.13704681396484,3804.257568359375
661.541748046875,-23.353654861450195,-124.11518096923828,3807.723876953125
663.8862915039062,-23.517047882080078,-121.92241668701172,3811.337890625
666.2210083007812,-23.69060516357422,-119.52606964111328,3815.164306640625
668.5113525390625,-23.885700225830078,-116.94207763671875,3819.0546875
670.8938598632812,-24.083730697631836,-113.94544982910156,3823.33935546875
673.0194091796875,-24.25724220275879,-110.98613739013672,3827.3955078125
674.97119140625,-24.450611114501953,-107.88904571533203,3831.477294921875
676.7274780273438,-24.624216079711914,-104.69987487792969,3835.57080078125
678.3017578125,-24.804101943969727,-101.41358184814453,3839.510009765625
679.7227783203125,-25.005144119262695,-98.0226821899414,3843.3369140625
680.9285278320312,-25.221263885498047,-94.7704086303711,3846.94287109375
682.16796875,-25.48105812072754,-91.0794677734375,3851.02880859375
683.46484375,-25.75792694091797,-86.88490295410156,3855.58935546875
684.7575073242188,-26.0181884765625,-82.48969268798828,3860.3525390625
686.0005493164062,-26.241287231445312,-78.33502960205078,3864.728271484375
687.2848510742188,-26.47542953491211,-74.17192077636719,3869.099365234375
688.4986572265625,-26.69525909423828,-70.35882568359375,3873.113525390625
689.9326171875,-26.96642303466797,-65.9098129272461,3877.8017578125
691.2032470703125,-27.22123146057129,-62.014766693115234,3881.909912109375
692.744873046875,-27.5283145904541,-57.33326721191406,3886.850830078125
694.1109008789062,-27.793245315551758,-53.18463134765625,3891.228515625
695.6485595703125,-28.100751876831055,-48.534000396728516,3896.136474609375
697.2278442382812,-28.42989730834961,-43.74120330810547,3901.19189453125
699.0515747070312,-28.836530685424805,-38.163822174072266,3906.942626953125
700.6294555664062,-29.19719123840332,-33.33470153808594,3911.6044921875
702.1991577148438,-29.565088272094727,-28.481334686279297,3916.38525390625
703.7608642578125,-29.941131591796875,-23.57343864440918,3921.3134765625
705.189208984375,-30.305944442749023,-18.973112106323242,3926.010009765625
706.8561401367188,-30.752490997314453,-13.516519546508789,3931.682373046875
708.4282836914062,-31.175861358642578,-8.367058753967285,3937.15234375
710.1138916015625,-31.629825592041016,-2.804516077041626,3943.183837890625
