x,y,z
569.9274291992188,-19.53569793701172,-152.5907745361328
570.0642700195312,-19.539169311523438,-152.59620666503906
570.5546875,-19.553945541381836,-152.6154327392578
571.3328857421875,-19.56669044494629,-152.6421356201172
572.409423828125,-19.59332847595215,-152.67340087890625
573.7932739257812,-19.632427215576172,-152.71002197265625
575.4917602539062,-19.673227310180664,-152.75230407714844
577.4973754882812,-19.731443405151367,-152.80369567871094
579.798583984375,-19.79792594909668,-152.86355590820312
582.3447875976562,-19.8696231842041,-152.93101501464844
585.3637084960938,-19.946619033813477,-153.00372314453125
588.5482788085938,-20.023021697998047,-153.0589141845703
592.1578979492188,-20.10376739501953,-153.16409301757812
596.1869506835938,-20.210189819335938,-153.3221893310547
600.6461791992188,-20.348230361938477,-153.46255493164062
605.5765991210938,-20.492698669433594,-153.6019287109375
610.9165649414062,-20.623872756958008,-153.7898712158203
616.5729370117188,-20.78592300415039,-154.056884765625
622.7494506835938,-20.977405548095703,-154.2180633544922
628.4743041992188,-21.141937255859375,-154.0740966796875
634.1705932617188,-21.300983428955078,-153.55555725097656
639.7791748046875,-21.481170654296875,-152.49493408203125
645.2288818359375,-21.695735931396484,-150.8184356689453
650.5941772460938,-21.929838180541992,-148.606201171875
656.0538940429688,-22.169546127319336,-145.88511657714844
661.5647583007812,-22.407135009765625,-142.6017608642578
667.028076171875,-22.663284301757812,-138.76181030273438
672.3546752929688,-22.927888870239258,-134.38397216796875
677.407470703125,-23.200862884521484,-129.45701599121094
682.0242919921875,-23.504135131835938,-123.99397277832031
686.3613891601562,-23.86104393005371,-117.55288696289062
689.5120849609375,-24.183937072753906,-111.6373291015625
692.4478149414062,-24.538999557495117,-104.89395904541016
695.1043090820312,-24.96896743774414,-97.2874526977539
697.2937622070312,-25.4041690826416,-89.98438262939453
699.6971435546875,-25.843711853027344,-82.71273040771484
702.529541015625,-26.32331085205078,-74.96968841552734
704.8865356445312,-26.803728103637695,-67.68522644042969
707.0179443359375,-27.30183982849121,-60.32332992553711
709.2286376953125,-27.803546905517578,-52.97425079345703
711.6192016601562,-28.304508209228516,-45.67588806152344
714.0069580078125,-28.81973648071289,-38.37187576293945
716.3453979492188,-29.34252166748047,-31.03849983215332
718.6370849609375,-29.881486892700195,-23.664642333984375
721.0908813476562,-30.47276496887207,-15.733095169067383
723.3648071289062,-31.015064239501953,-8.473225593566895
725.6180419921875,-31.529531478881836,-1.365370512008667
727.7797241210938,-31.989112854003906,5.401470184326172
729.7000122070312,-32.380958557128906,11.499732971191406
731.365234375,-32.741024017333984,16.9320068359375
732.8467407226562,-33.06386947631836,21.659849166870117
734.1559448242188,-33.339202880859375,25.72327423095703
735.4070434570312,-33.58832550048828,29.504907608032227
736.6259155273438,-33.825801849365234,33.172611236572266
737.71826171875,-34.041969299316406,36.565216064453125
738.7509155273438,-34.27399826049805,40.078365325927734
739.4692993164062,-34.48054122924805,43.071781158447266
740.0419921875,-34.70021438598633,46.294212341308594
740.373291015625,-34.908226013183594,49.508995056152344
740.37060546875,-35.1438102722168,52.972476959228516
739.982666015625,-35.34333038330078,56.188201904296875
739.2424926757812,-35.510215759277344,59.4810905456543
738.0630493164062,-35.67039108276367,62.8146858215332
736.394775390625,-35.841129302978516,66.03166961669922
734.268310546875,-36.03251647949219,69.00453186035156
731.6616821289062,-36.236820220947266,71.73066711425781
728.6535034179688,-36.45412826538086,74.29238891601562
725.4771728515625,-36.667232513427734,76.95304870605469
722.1133422851562,-36.87825012207031,79.6270523071289
718.5223388671875,-37.084739685058594,82.30701446533203
714.5413208007812,-37.28794479370117,85.40416717529297
710.6029052734375,-37.467079162597656,88.34591674804688
706.451171875,-37.64459228515625,91.38015747070312
702.05615234375,-37.827449798583984,94.39756774902344
697.4931030273438,-38.00351333618164,97.40512084960938
692.736328125,-38.169776916503906,100.43733978271484
687.836181640625,-38.33152770996094,103.49542999267578
682.739501953125,-38.48744201660156,106.49054718017578
677.4935913085938,-38.62034606933594,109.41134643554688
672.13671875,-38.749385833740234,112.21211242675781
666.2105102539062,-38.88363265991211,115.111328125
661.0264282226562,-38.99131393432617,117.51754760742188
654.941650390625,-39.10721969604492,120.3262939453125
649.2611694335938,-39.189579010009766,122.93110656738281
643.972900390625,-39.23212432861328,125.28299713134766
637.2568969726562,-39.310909271240234,128.0455322265625
631.33984375,-39.377838134765625,130.283203125
625.3095703125,-39.45372772216797,132.35165405273438
619.2117309570312,-39.55764389038086,134.34393310546875
613.0606689453125,-39.661720275878906,136.27545166015625
606.8435668945312,-39.75257110595703,138.13014221191406
600.5425415039062,-39.8538932800293,139.8578338623047
594.1980590820312,-39.960479736328125,141.5917205810547
587.3438720703125,-40.068153381347656,143.55540466308594
580.9529418945312,-40.17397689819336,145.44711303710938
574.5195922851562,-40.28280258178711,147.344482421875
568.02001953125,-40.373435974121094,149.18894958496094
561.4878540039062,-40.48566818237305,151.0078582763672
554.943115234375,-40.61536407470703,152.83497619628906
548.3853149414062,-40.74723815917969,154.71034240722656
541.8125610351562,-40.86005783081055,156.6297149658203
535.2264404296875,-40.95008087158203,158.5758056640625
528.6577758789062,-41.0357551574707,160.51742553710938
522.1498413085938,-41.13401412963867,162.39498901367188
515.7295532226562,-41.251590728759766,164.16558837890625
509.38226318359375,-41.344696044921875,165.9176025390625
502.6745910644531,-41.441043853759766,167.89013671875
496.5783996582031,-41.520137786865234,169.806884765625
490.5648498535156,-41.58657455444336,171.74676513671875
484.5591125488281,-41.67019271850586,173.63656616210938
478.5351867675781,-41.7503776550293,175.45510864257812
472.4923400878906,-41.824283599853516,177.21630859375
466.437744140625,-41.88566207885742,178.94662475585938
460.37274169921875,-41.937400817871094,180.65155029296875
454.3000183105469,-41.983821868896484,182.3386993408203
448.220947265625,-42.02348327636719,184.0140380859375
441.6630554199219,-42.05803298950195,185.8085479736328
435.5662536621094,-42.08646011352539,187.4728546142578
429.4488220214844,-42.09515380859375,189.1258087158203
422.34637451171875,-42.10149383544922,191.00865173339844
415.67535400390625,-42.10591506958008,192.7543487548828
409.92767333984375,-42.11537170410156,194.2527313232422
403.6842956542969,-42.123512268066406,195.9315185546875
397.43701171875,-42.13264083862305,197.7082061767578
391.1763000488281,-42.138816833496094,199.5448455810547
384.8933410644531,-42.138771057128906,201.41921997070312
378.5857849121094,-42.13627624511719,203.3261260986328
372.24951171875,-42.13409423828125,205.23936462402344
365.8837585449219,-42.130638122558594,207.15179443359375
359.48455810546875,-42.12742614746094,209.04638671875
353.0445556640625,-42.12078857421875,210.90036010742188
346.06768798828125,-42.11247634887695,212.88226318359375
339.55340576171875,-42.10637664794922,214.71896362304688
333.00738525390625,-42.10086441040039,216.55714416503906
326.4259338378906,-42.10106658935547,218.38795471191406
319.8174133300781,-42.10448455810547,220.23904418945312
313.1916198730469,-42.102455139160156,222.13482666015625
306.5420227050781,-42.09749984741211,224.03904724121094
299.8701477050781,-42.0819091796875,225.9465789794922
293.1602478027344,-42.05722427368164,227.87246704101562
285.8641662597656,-42.025001525878906,229.9959716796875
279.0237121582031,-41.98824691772461,232.01138305664062
272.65240478515625,-41.940162658691406,233.88705444335938
265.151123046875,-41.86516189575195,236.07762145996094
258.1231994628906,-41.773624420166016,238.10838317871094
251.03897094726562,-41.66896057128906,240.13299560546875
243.90029907226562,-41.54963684082031,242.1467742919922
236.7206573486328,-41.42136001586914,244.1756134033203
229.51992797851562,-41.26851272583008,246.26622009277344
221.7581329345703,-41.06666946411133,248.59494018554688
215.06260681152344,-40.873783111572266,250.63829040527344
207.76736450195312,-40.63819122314453,252.8782501220703
200.42233276367188,-40.391483306884766,255.110107421875
192.99229431152344,-40.14265823364258,257.3092956542969
184.90420532226562,-39.834083557128906,259.69171142578125
177.32418823242188,-39.521484375,261.9352111816406
169.68179321289062,-39.17296600341797,264.1975402832031
161.9767608642578,-38.78413772583008,266.453369140625
154.20970153808594,-38.365440368652344,268.6917724609375
146.3915557861328,-37.93803405761719,270.9435119628906
138.52708435058594,-37.50038528442383,273.2154235839844
130.6246337890625,-37.041099548339844,275.51495361328125
122.71221923828125,-36.543128967285156,277.8292236328125
114.2446060180664,-35.976627349853516,280.32708740234375
107.09375,-35.46746063232422,282.4808044433594
98.85115814208984,-34.86788558959961,284.93902587890625
90.65692901611328,-34.26078414916992,287.3194274902344
83.07585906982422,-33.67299270629883,289.5509338378906
75.72438049316406,-33.085052490234375,291.7522888183594
