x_right,z_right,x_left,z_left
579.1029052734375,-138.0721435546875,569.9274291992189,-152.59077453613284
583.368189412956,-138.1909353959075,574.2906351224206,-152.722532174733
587.6320047119061,-138.3540136193993,578.6544638627929,-152.8336942625519
591.8951464077287,-138.534211019101,583.0181947040248,-152.94877576689663
596.156010572429,-138.7611054176133,587.3825074923519,-153.03776098120022
600.414247132279,-139.03359842372828,591.746287328871,-153.1492972043106
604.6715806928562,-139.3199158214645,596.1082255373534,-153.3192654686112
608.9306137485634,-139.5792567869487,600.4712749568249,-153.45762009928254
613.193287122371,-139.76955346299263,604.8347902935833,-153.5801959246055
617.45921480089,-139.8575542872481,609.1978330940799,-153.72090739186268
621.7242707807471,-139.74818279628812,613.5586680514159,-153.9139655006331
625.9745292801861,-139.37496822286954,617.9196309524543,-154.1118734536271
630.1986117373942,-138.7747079214642,622.2837458013281,-154.2157555150325
634.38530609616,-137.95276941788725,626.6486329749296,-154.15570436330302
638.5244017554797,-136.91740607496678,631.0070803716357,-153.89957369201483
642.5997507963098,-135.6547808182634,635.3423406480382,-153.38518664527808
646.5676549224903,-134.08721118281483,639.6245240691609,-152.53303757980302
650.3926479793914,-132.198157627043,643.8165004107171,-151.31284117029082
654.0385209820532,-129.98257795804582,647.9033924119096,-149.77737347708413
657.4980485748472,-127.4856958063511,651.8921737780959,-148.00211272391246
660.7933406019563,-124.77542842608716,655.7868491273505,-146.02985593673054
663.9283205100163,-121.88123157602442,659.5722890380564,-143.85503919511208
666.8841665881927,-118.80414825865496,663.2407057616158,-141.48783580718012
669.6472535374315,-115.55325685183767,666.7882925447769,-138.9432269619439
672.2155613132563,-112.14551862786506,670.2103086209739,-136.23188966373843
674.5584466432094,-108.57994402979644,673.4911201091072,-133.35126042318683
676.6457206767456,-104.85852913586062,676.6105315099079,-130.29629041813283
678.4821341072385,-101.00718445696668,679.5466509822268,-127.06465000907968
680.0948433978288,-97.05692721097502,682.2781827046559,-123.65797098585826
681.5247631752554,-93.03675938475912,684.7858883037362,-120.08255182968252
682.830773328149,-88.97460195177533,687.0558175201875,-116.35275665698435
684.0548901250228,-84.8870095811298,689.0948451384054,-112.49211643051888
685.2602907364898,-80.79386695172639,690.938842723449,-108.53443490186628
686.496740417155,-76.70997720241695,692.601823458037,-104.49780485600488
687.7700732165828,-72.63746767704612,694.0909303407174,-100.3937277710024
689.0721639003178,-68.57403300192571,695.4279322527924,-96.23774424074644
690.3860543771805,-64.51441402629831,696.6727328121691,-92.05377507143334
691.714546321002,-60.45954524375789,697.9510254369793,-87.87977442860158
693.0498650719915,-56.40691918852984,699.3344396790499,-83.73919735205018
694.3850338331679,-52.35424494899447,700.8234156863836,-79.63561300283057
695.7248881094824,-48.303115979720815,702.3280426705712,-75.53792657554823
697.0606275641517,-44.250628443429655,703.7309103544726,-71.40429706256464
698.3878542338427,-40.19534691932412,705.0213347749177,-67.23362633796265
699.7136651821437,-36.13959877554241,706.2381909118867,-63.04144000442383
701.0363504550695,-32.08283477072663,707.4470889952911,-58.84684941191543
702.3466114712522,-28.02203496575229,708.7008085010738,-54.66538733825726
703.6404867058268,-23.955985619445705,710.0231901994986,-50.50540389231133
704.9094165487203,-19.88208564712348,711.3923942428014,-46.36034737390938
706.1592199066292,-15.802274214428673,712.7581702239981,-42.21420442257895
707.4041973923139,-11.72099191645667,714.1068274468471,-38.06254522023755
708.6500107931909,-7.639959337969501,715.4388776082727,-33.90549345725184
709.8880304298738,-3.556556023008442,716.7516902041614,-29.74233216696682
711.1087636435609,0.5320423905210379,718.0471282613112,-25.573733889923005
712.334125314742,4.6192560692629465,719.335398705938,-21.402906923682465
713.5724835738871,8.702557163281526,720.6252518272809,-17.232580023981658
714.8217299352583,12.782535897033885,721.923057969204,-13.06472440356584
716.0875824290306,16.857392321749842,723.230380820634,-8.899835376911716
717.367047939491,20.927997685271773,724.5457944456965,-4.7374931914769975
718.6520552792299,24.99685707665171,725.8693614960517,-0.5777471964041866
719.951747078825,29.06104759385441,727.1984411474549,3.580239724815576
721.2847887595226,33.11441337489355,728.5226598987508,7.739810828778423
722.6273128204814,37.164658466820505,729.825418763413,11.906113031075831
723.9387760983373,41.22500120444014,731.1032843144022,16.08013270863828
725.0241107287069,45.35055349294627,732.3997756212369,20.248397575749664
725.6473994786361,49.56794527274064,733.7276505639957,24.406787906611605
725.5918698082015,53.83044556687474,735.090383765752,28.553857290272507
724.405250043325,57.90840145445947,736.468677768787,32.69581166082671
721.8506895472166,61.30586471866802,737.807270228637,36.850750706744
718.7351338040228,64.22147394640294,739.0025496481954,41.04887434510884
715.5298874994754,67.03803562872962,739.8922492780775,45.32192312950089
712.2778910515669,69.80044185759533,740.3815649353145,49.6587224392753
708.9614674962988,72.4851581397514,740.2832401715555,54.02067962470474
705.590910283025,75.1016386589027,739.5450679695034,58.32236290910639
702.2068802476222,77.70067773741224,738.2064496850556,62.47541741175478
698.8146963091574,80.289129945959,736.1973638583527,66.3489625234976
695.3395917032085,82.76495093719859,733.5580924907848,69.82383032459875
691.769578195017,85.10201715538149,730.4018715663093,72.83734104279654
688.1428248165291,87.35010150063862,727.0512304786494,75.63613949978057
684.4712508286706,89.52407189777689,723.6804720893242,78.40968696352732
680.7754088047382,91.65664341433178,720.2048227495064,81.05064859135464
677.0708844621369,93.77402335715637,716.7314776944875,83.69427916219546
673.3696161270656,95.897095891375,713.2773775971789,86.36327848254142
669.6572141018081,98.00072399262538,709.7694540498014,88.96173220544162
665.9039309707796,100.03061046648716,706.2398830448824,91.53009272083776
662.1031813540856,101.97005503036294,702.643051773109,94.00362336283224
658.2633759333556,103.8310270133023,699.006900582508,96.419216191905
654.3925339023057,105.62657866382104,695.3395584586243,98.78665093555792
650.4926323068069,107.3579846440017,691.6518218605858,101.12272463168284
646.5624240779435,109.0194535329674,687.9455227057592,103.42889667024848
642.6087884662027,110.62444680636726,684.1909635672592,105.65564102571176
638.6352899042575,112.17952602017414,680.3968907446535,107.81483836051966
634.6431249654358,113.68606638384762,676.5669155974915,109.9091813825462
630.635092922869,115.14978960095962,672.6964049337975,111.92788838836675
626.6153862743971,116.58138567555712,668.7889254901039,113.87416408549508
622.5785048422393,117.96334795744691,664.8478180533044,115.75112236015936
618.5292103167096,119.30886704146616,660.8853169458797,117.5825665882534
614.4816961634407,120.65958299963086,656.9219234574539,119.41203935221635
610.4326214470957,122.00569085129732,652.9579720202024,121.24019902433
606.3716521544261,123.31542124233329,648.9878943100706,123.0551698625996
602.2936676941658,124.57121243822034,645.0022828089783,124.8358497290878
598.2024489671669,125.78318534653408,640.9847795670976,126.5429733506076
594.1070990295409,126.98111602048114,636.9347096358015,128.1722862134978
590.0119933695012,128.17982104735563,632.8566835223347,129.73003355034385
585.917768418318,129.38156716153176,628.7443986455469,131.19390506426666
581.8233516384192,130.5826528935161,624.6064964718203,132.5849293007087
577.7282943904266,131.78154790439535,620.4578287246668,133.942872980384
573.632811800771,132.97899289101,616.2987504452676,135.26831646805064
569.5376289076322,134.1774620213639,612.1292893119821,136.5613314719289
565.4427867162956,135.37709411164494,607.9470932243578,137.81240824509808
561.3479896191141,136.57688037538233,603.7444191398596,138.99211429107123
557.2529802856343,137.77594361282365,599.5302312860749,140.13106332465483
553.1585549669364,138.97699602750757,595.3190055701822,141.2803800909349
549.0650759156892,140.18127200381096,591.116955439529,142.4627045731179
544.9713669740318,141.38476612258955,586.9243568952295,143.67836653285465
540.876903372327,142.58569069598462,582.7382531144581,144.91604803876456
536.7815259881179,143.78349573402164,578.5539987465901,146.16006456995063
532.6838411121944,144.97339749426598,574.3653658166244,147.38913249809625
528.5854795809538,146.16096121013214,570.1674566076435,148.58616350887252
524.4919439795023,147.36500817175212,565.9638480849809,149.7631302085403
520.3997331741795,148.57359762986192,561.7582245793936,150.93276174169122
516.3032816593625,149.76772383476992,557.5527127400231,152.10283354911402
512.2074429495148,150.96394327582547,553.3508045528212,153.28575028753
508.1149393212202,152.1715399626083,549.1543820834617,154.4880231979854
504.020592371088,153.37283624896878,544.9624942020483,155.70599851555795
499.9234951373783,154.56475999246192,540.7739782949067,156.9355136716663
495.8266859712911,155.75770469452291,536.5876734378344,158.17253463088105
491.7306576153611,156.95323965741508,532.402307560888,159.41269627813077
487.6355677931674,158.15188499659703,528.2152594309002,160.64723618237477
483.5440913904496,159.36329999141867,524.0227476843795,161.86316394143316
479.4516360084178,160.57127565754448,519.8204378922835,163.04451532294348
475.3416109951944,161.716818609201,515.6103430014136,164.1981034594606
471.2173489585981,162.81185215124378,511.4005354195869,165.35269943025526
467.09395199830993,163.91015638312243,507.2005619337213,166.54248457265456
462.9813068062562,165.0467523437305,503.0161106737965,167.78596906381483
458.8833915242642,166.235651995472,498.8478614565641,169.0825584497846
454.7897307012256,167.43968637442117,494.69102827358006,170.4153449646122
450.69282606376703,168.63224977745747,490.5366929272062,171.7557901821838
446.5952409115176,169.82240070178693,486.3749336757424,173.07306712265782
442.4985098958462,171.01557650463317,482.2027329200837,174.35688835263912
438.4016462773044,172.2083052302763,478.0203690900523,175.60720379346358
434.3047629271635,173.4009431994216,473.8299408063446,176.83018906072715
430.20876659512726,174.5966248123016,469.6347005578254,178.03658201973408
426.1129930066496,175.79307537327716,465.4357904836607,179.23010437743648
422.0162656783396,176.98625340963355,461.2333286086327,180.411073067236
417.9188212004682,178.17696888599593,457.0282364138467,181.5826389653849
413.82127672858576,179.36733927885004,452.8212646603222,182.74743504435423
409.7239564782657,180.5584796511189,448.612707066681,183.90648743526663
405.6270279133883,181.7509669175082,444.40255655295255,185.05973834215476
401.5302794023199,182.94407338830305,440.191781383737,186.2107079437093
397.43347563229656,184.13698973968368,435.9805696050023,187.3600781856053
393.3366398326499,185.3297959107637,431.7674608466905,188.5024892993521
389.2398125920659,186.52263157396084,427.5509983105063,189.63243358528172
385.1429588664504,187.71537631110303,423.3310780644163,190.74942150659757
381.0460638858523,188.90797932429888,419.1089797134917,191.85815683748172
376.9491999712785,190.1006890126492,414.8850646086515,192.95990847890616
372.8524259767938,191.2937075346094,410.6608076652354,194.0603586636381
368.7556678087486,192.48678042254755,406.4413838801399,195.179358559762
364.6588431554973,193.67962497772652,402.23229416317696,196.33638857065293
360.56199049399424,194.87237334329245,398.0348016573372,197.53499395568085
356.4651614507746,196.0652028247403,393.84428387317615,198.75771717447387
352.368340935585,197.25806159541003,389.65808375182615,199.995072215844
348.2715088314163,198.4508805644321,385.47539626042135,201.244275265595
344.17467646301435,199.64369862355295,381.2962851997249,202.50537728051475
340.0778582041155,200.8365651405493,377.1182432884447,203.77002688281968
335.9810600806009,202.0295008238196,372.9392368455679,205.03147925303077
331.8842464852622,203.2223833694966,368.75927441008736,206.2897496689476
327.787335250952,204.414930534145,364.57746794901806,207.54191851733847
323.6903583466158,205.6072521032065,360.3917491922472,208.7809338720841
319.5935337321645,206.80009669851364,356.19942574535213,209.9973619521176
315.4968554186306,207.99344378690483,352.0023922228404,211.1975264369449
311.40009044068984,209.18649327467185,347.8034293267157,212.39087035794893
307.3032373289539,210.37924010039848,343.6027851031744,213.57826644595
303.20643657683706,211.57216674982664,339.40105987662656,214.76185468419752
299.1096211981395,212.76504315169788,335.1987997871308,215.94354514988925
295.0127379449329,213.95768643356556,330.99459358994767,217.11826057858457
290.9158883802044,215.150445427574,326.7887418021045,218.28710127911407
286.8190874452169,216.3433714484364,322.583913307432,219.45964945500052
282.7222849120275,217.53629197833607,318.3832022144537,220.64678435430727
278.62545406633586,218.7291152639898,314.1867912979255,221.8490850367801
274.5285916080124,219.92182997600548,309.99066830487254,223.05239186798667
270.4317278519153,221.1145402363537,305.7937740901705,224.25298152221305
266.3349403845071,222.307512492838,301.5966653579809,225.45282832780623
262.2381812556968,223.5005820718208,297.39985234280766,226.65371726586795
258.1413408545361,224.69337254371047,293.20450088141126,227.8596942165628
254.0444860327865,225.88611348726587,289.0120087210921,229.07558268033227
249.9476508133673,227.0789217543428,284.8225455500969,230.3018659638022
245.8508445740173,228.271829554996,280.63532922296054,231.53579321785168
241.75406173169583,229.4648177062421,276.4483997578681,232.77069615686975
237.6572451524432,230.65768998337128,272.2604308358722,234.00206656461927
233.56034133942785,231.85026266910907,268.07078585859506,235.22772674842128
229.46342640211887,233.04279708563237,263.8791937173109,236.44670781863584
225.3666466848716,234.23579585663296,259.68557380398977,237.65869494679208
221.26968001033467,235.42815319465515,255.4900177521233,238.8639742492908
217.1733396961766,236.62265906283332,251.29214273897145,240.0611386153457
213.07862623563253,237.8227326692013,247.09155006030545,241.24872259842195
208.98467169436591,239.02539078144648,242.8894585327654,242.43102062089304
204.8887798945652,240.22142827759387,238.6881356041729,243.6160365593242
200.79208019874508,241.41472119692776,234.49090250459489,244.8154640702715
196.6946356864906,242.6053888289053,230.29983233110775,246.03627927434093
192.59765013328865,243.79777520046883,226.1154533956076,247.27979429389683
188.49636020435003,244.97506185498293,221.93632110301732,248.54087395820304
184.38192991288156,246.10580154220975,217.76038887122272,249.812482185929
180.2808947007493,247.28383188724484,213.58663531690777,251.0911902590247
176.18591655538708,248.4831928659932,209.41383884763968,252.3730288236288
172.0892477349148,249.67650882043893,205.24000970505568,253.6515614634448
167.99409731986947,250.87510636325,201.06249483321517,254.9179441243634
163.89989025821944,252.07690228229455,196.87891980253852,256.1641198231318
159.8056175351445,253.27847569294337,192.69160021811103,257.3977506376744
155.71046382293397,254.47704691493504,188.503957324044,258.63024205911574
151.61364527577663,255.66990993589383,184.31702835991263,259.8651266201013
147.5157253828866,256.85898803068693,180.13110957501334,261.10344716259027
143.41802137457023,258.04880787024507,175.94580496726545,262.3438476938294
139.32035855032996,259.2387700849091,171.76030683249425,263.5835887127742
135.22271825675176,260.4288113982601,167.57334658646278,264.8183967797978
131.12490815946214,261.61825499538975,163.3837997526643,266.0443986945055
127.02768558221943,262.8097764775991,159.19089201307165,267.2588330591316
122.93517464153818,264.0172895890673,154.9958124886445,268.46576716947067
118.84845845623715,265.24434502141787,150.80077071948864,269.6728275710105
114.76190539203829,266.4719164440943,146.60622925899162,270.8816171727762
110.67569331306883,267.7006289432294,142.4120390228,272.09162850597056
106.59183616291544,268.9371347274071,138.21876331000075,273.30480508154
102.5102666249438,270.18118016423693,134.0269280812957,274.5229533256229
98.42828625622312,271.4238713938286,129.83627000253082,275.7451364719307
94.34441765469305,272.66036797181766,125.64641940216596,276.9700755283919
90.25604940205348,273.88185643620216,121.45713994984766,278.1970157603577
86.16466526305192,275.0932439992417,117.26927673993092,279.4287905997912
82.0741096167829,276.3074106547369,113.08545396945034,280.67411684586386
77.98316791404793,277.5202780049977,108.9058994271136,281.93374456038856
73.8914258198587,278.73044161919233,104.72627674195417,283.1932445817409
69.79962540725954,279.94041000939814,100.54301155239068,284.4405266425201
65.70727136230283,281.1485020038434,96.35387129374526,285.6678304493193
61.61190950063928,282.34636265876617,92.1611021691678,286.8827841324056
57.51356922035366,283.53398875999665,87.97017250435721,288.10408624361133
53.41489380318912,284.7204591234336,83.78361355768882,289.3402529545451
49.31673294553534,285.90870412958515,79.60133162399724,290.59078901012174
45.21917403833462,287.0990268119045,75.41961207831355,291.84322961295766
41.121995053242856,288.2906449681536,71.23415815794056,293.08314856841946
37.024800373693694,289.4822315294999,67.04356083314327,294.3055429806873
32.92391484799761,290.6610257137536,62.84817495834109,295.51141484660377
28.801561383848284,291.7622022111283,58.65034626545919,296.7087471297423
24.65571124745342,292.7714393201851,54.45403502827278,297.91136650035565
20.490260738772825,293.6963024534455,50.2596986033494,299.1208911028097
16.28861795837291,294.43525152553053,46.06765712957392,300.33829044547605
12.029372503673924,294.5896773580486,41.8811645273897,301.57471893697084
7.916882866575581,293.5835208593242,37.70594789462005,302.8487644839844
4.598252155135643,290.9326196605386,33.5508732996709,304.18680632639285
1.87550732762325,287.648973298818,29.399913278215696,305.5377829482732
-0.5801606259306192,284.1608807280989,25.22965588630074,306.8277997557944
-3.007213849982781,280.65193463033427,21.006143625390724,307.9298739581072
-5.361278880257099,277.09345892364803,16.690519331920406,308.5701801996785
-7.686102863041312,273.51573805364967,12.327730348487751,308.71087298138093
-10.169274671427187,270.0477011958068,7.967152881416407,308.5377721701093
-12.477068083154863,266.4584637981935,3.697949934755449,307.64683465862373
-14.582374084371883,262.74657778671315,-0.3410246205444452,305.99916501192445
-16.63755458118385,259.0072268327373,-3.966776801696797,303.5775038194184
-18.72639343576916,255.28656575706947,-6.954591388506784,300.40320877921744
-20.892768139694635,251.61048359936572,-9.450235285078897,296.8218088171952
-23.15477560530025,247.99248516363983,-11.795950097672764,293.14047433931296
-25.503258856611225,244.42998070615823,-14.04685091503594,289.40037735433015
-27.91851261981688,240.91229186338603,-16.223738675629257,285.6166838345109
-30.40807256068795,237.44702469000728,-18.357523601430337,281.80850086211854
-32.94477009429276,234.015886748992,-20.47549876479801,277.9914872061744
-35.472963321431,230.57860831915656,-22.626887557552635,274.19323519647185
-37.99569743790216,227.1372952949168,-24.82916183935618,270.42419275274085
-40.55423696160385,223.72250765058027,-27.09333223014938,266.6920808225968
-43.13775725088137,220.3265727325713,-29.433352334689168,263.0069547190763
-45.733381297477926,216.93990481481288,-31.84132329689233,259.3658556801007
-48.33514889930317,213.5579296592738,-34.31767446836096,255.7709789803336
-50.92930356196484,210.1701369721429,-36.85729294803837,252.22047445984165
-53.49863212503941,206.76345915237425,-39.4511009463324,248.7093723071104
-56.05128240464895,203.34427382554065,-42.09019060783163,245.2321920973946
-58.60454342171103,199.9255431024928,-44.763079017293485,241.78092061818208
-61.16687419329896,196.51360885750668,-47.45783658441911,238.34672883662745
-63.7358367780902,193.1066602407005,-50.16241834672519,234.9202804846915
-66.3040874590049,189.6991765133381,-52.86387805009873,231.49134195614857
-68.86724909950517,186.2878658545064,-55.54966873065074,228.050122112109
-71.42667626340624,182.87374891407805,-58.20958725725973,224.5888971234756
-73.98672102130163,179.46009719471184,-60.84668742850149,221.11020148652636
-76.55010568698783,176.04895256212174,-63.470497021986056,217.6215031199326
-79.1142283188908,172.63836240459742,-66.08846557422872,214.12842773325968
-81.68043433135658,169.2293381974212,-68.70680470928777,210.6356244387394
-84.25463475937143,165.8263477106726,-71.33035442404677,207.1467386058499
-86.84137564445396,162.4328790355474,-73.95992113365728,203.6623816571941
-89.43774231616685,159.04676752996244,-76.59099303752704,200.17916074186732
-92.03342416360044,155.6601374088788,-79.22197341623404,196.69587285951675
-94.6212106270911,152.26746455192932,-81.85362387101458,193.2130887241073
-97.20269366009096,148.8699919538336,-84.48778038024956,189.7322008418549
-99.77532017288767,145.46581408997537,-87.12665157901753,186.25488818001148
-102.33798579270268,142.05412581170006,-89.76999379958916,182.7809698171072
-104.8912567893593,138.63540388766722,-92.4157947537506,179.30892321902456
-107.4345435272375,135.20924743594938,-95.06287547833504,175.83785435856925
-109.97099335777578,131.77802652508043,-97.71071426504292,172.3673646546529
-112.50743130012552,128.34679743106784,-100.35777331324547,168.89627985055333
-115.05016260288352,124.9202291769416,-103.00148831726386,165.42264232613857
-117.60191074590958,121.50036956327352,-105.63927991715111,161.94449946343136
-120.16348247617655,118.08786111436196,-108.2686318784613,158.45998286817556
-122.7348836935454,114.68275479518869,-110.88825075233667,154.96814500608795
-125.31469883258104,111.28401819372375,-113.50127033909123,151.4713547606915
-127.90063810771116,107.889939413478,-116.11143185504991,147.97243373040843
-130.48934507157438,104.49797227945974,-118.71968608738952,144.4720972557735
-133.0718196743551,101.10125120512063,-121.32585307994144,140.97020680453025
-135.6377655864363,97.6920282617202,-123.93064120056044,137.46728833143075
-138.1779322730855,94.2635510792308,-126.53548384635934,133.9644101553936
-140.68578738934417,90.81136990940924,-129.1414665941969,130.46238103101717
-143.16197411780198,87.33640807215887,-131.74874239898443,126.96131363886836
-145.62070928415548,83.84907024807708,-134.35691611582692,123.46091314816248
-148.0731250376054,80.35729478776597,-136.96340230094603,119.95925850369984
-150.52134726955404,76.8625760447077,-139.56501617075412,116.45398430743384
