x,y,z
568.8916015625,-19.64021873474121,-150.97805786132812
569.282958984375,-19.64588737487793,-150.99383544921875
569.9806518554688,-19.662696838378906,-151.0225067138672
570.9781494140625,-19.68398666381836,-151.06346130371094
572.3871459960938,-19.710752487182617,-151.11807250976562
573.869384765625,-19.749736785888672,-151.169921875
575.9191284179688,-19.800752639770508,-151.23028564453125
578.1307983398438,-19.861448287963867,-151.2752227783203
580.6088256835938,-19.93214225769043,-151.3013458251953
583.3379516601562,-20.01103973388672,-151.302734375
586.3745727539062,-20.0992431640625,-151.2708740234375
589.8468627929688,-20.198867797851562,-151.18727111816406
594.4368286132812,-20.327024459838867,-150.9885711669922
598.579833984375,-20.443103790283203,-150.7110137939453
603.9532470703125,-20.59577178955078,-150.1977081298828
609.3189697265625,-20.757471084594727,-149.47132873535156
614.8510131835938,-20.96372413635254,-148.42115783691406
620.4983520507812,-21.196704864501953,-147.05941772460938
626.281494140625,-21.448955535888672,-145.41763305664062
632.16015625,-21.706302642822266,-143.41685485839844
638.0865478515625,-21.999465942382812,-141.0315399169922
644.493896484375,-22.321121215820312,-138.04779052734375
649.9749755859375,-22.584571838378906,-135.13356018066406
656.2997436523438,-22.91105842590332,-131.28465270996094
662.0552978515625,-23.227968215942383,-127.24954986572266
667.6251220703125,-23.558347702026367,-122.73487854003906
672.9465942382812,-23.88947868347168,-117.74221801757812
677.9716796875,-24.22180938720703,-112.28912353515625
683.0335083007812,-24.584928512573242,-105.9574203491211
687.4813842773438,-24.918899536132812,-99.6994857788086
691.7451782226562,-25.289152145385742,-93.10773468017578
695.7249145507812,-25.691171646118164,-86.1598892211914
699.3389282226562,-26.127243041992188,-78.85139465332031
702.5416259765625,-26.61025619506836,-71.20475006103516
705.2872314453125,-27.132551193237305,-63.24638366699219
707.7764282226562,-27.685752868652344,-55.069644927978516
710.4188232421875,-28.307018280029297,-46.10992431640625
712.929443359375,-28.917369842529297,-37.67384338378906
715.5134887695312,-29.521320343017578,-29.135591506958008
718.1614990234375,-30.1558780670166,-20.548635482788086
720.7828979492188,-30.803861618041992,-11.961105346679688
723.3025512695312,-31.429473876953125,-3.467449903488159
725.5477294921875,-32.00227737426758,4.4907660484313965
727.6002807617188,-32.56713104248047,12.234354972839355
728.9935913085938,-33.01557159423828,18.244165420532227
730.0182495117188,-33.491580963134766,24.42439079284668
730.5919799804688,-34.07157897949219,31.551027297973633
730.4765014648438,-34.59968566894531,37.80369567871094
729.7783203125,-35.151912689208984,44.11166763305664
728.6116943359375,-35.73505783081055,50.46261978149414
726.8734130859375,-36.26973342895508,56.78469467163086
724.4940795898438,-36.6612663269043,62.98500442504883
721.4295043945312,-36.938819885253906,68.9194107055664
717.4524536132812,-37.192569732666016,75.04449462890625
713.1952514648438,-37.429874420166016,80.51497650146484
708.45849609375,-37.64945983886719,85.81198120117188
703.2757568359375,-37.85819625854492,90.91925048828125
697.6604614257812,-38.05796813964844,95.73172760009766
691.6644287109375,-38.24798583984375,100.14503479003906
685.3600463867188,-38.445289611816406,104.17915344238281
678.79736328125,-38.624794006347656,107.90357208251953
671.9761352539062,-38.78993225097656,111.35025787353516
664.9384155273438,-38.95161819458008,114.6153564453125
657.7379760742188,-39.09861373901367,117.77825164794922
650.3622436523438,-39.239952087402344,120.78040313720703
642.8049926757812,-39.34528350830078,123.57615661621094
634.4949340820312,-39.44487380981445,126.43229675292969
626.6100463867188,-39.54905700683594,128.95361328125
618.5584106445312,-39.689788818359375,131.371826171875
610.9796142578125,-39.81889724731445,133.5259246826172
601.9656372070312,-39.95515060424805,135.95248413085938
592.781982421875,-40.105045318603516,138.30191040039062
584.1227416992188,-40.24737548828125,140.439453125
575.3567504882812,-40.40365219116211,142.5843048095703
566.5052490234375,-40.551448822021484,144.78778076171875
557.5941772460938,-40.695125579833984,147.12025451660156
548.63916015625,-40.85193634033203,149.61505126953125
539.6454467773438,-40.99683380126953,152.2693634033203
530.6060791015625,-41.12696075439453,155.06272888183594
520.798583984375,-41.26683807373047,158.18727111816406
511.5945129394531,-41.406471252441406,161.11453247070312
502.2242736816406,-41.54338836669922,164.01022338867188
492.70184326171875,-41.68049621582031,166.8781280517578
483.0385437011719,-41.81793975830078,169.73204040527344
473.2507629394531,-41.95342254638672,172.6130828857422
463.3314514160156,-42.060577392578125,175.57606506347656
453.2499694824219,-42.13771438598633,178.56312561035156
442.99945068359375,-42.189544677734375,181.5285186767578
432.5970764160156,-42.211421966552734,184.49160766601562
422.0691833496094,-42.21622085571289,187.49810791015625
411.4278259277344,-42.21623611450195,190.5594024658203
400.70166015625,-42.224754333496094,193.65765380859375
389.9095764160156,-42.23701095581055,196.78570556640625
378.2449951171875,-42.23619842529297,200.17872619628906
367.4103088378906,-42.23192596435547,203.34251403808594
356.63653564453125,-42.2255973815918,206.5245361328125
346.006591796875,-42.21198272705078,209.72239685058594
335.6703186035156,-42.20112991333008,212.86544799804688
325.6903381347656,-42.19456100463867,215.90457153320312
316.0750427246094,-42.194000244140625,218.8193359375
306.7972412109375,-42.18583297729492,221.59274291992188
297.81591796875,-42.164756774902344,224.21006774902344
289.0482482910156,-42.13090896606445,226.7012481689453
280.4477233886719,-42.09074783325195,229.17575073242188
271.3482666015625,-42.02631378173828,231.85264587402344
263.0308532714844,-41.93826675415039,234.3437042236328
254.76571655273438,-41.823421478271484,236.85337829589844
246.47398376464844,-41.68854522705078,239.38909912109375
237.46295166015625,-41.52713394165039,242.1273193359375
228.9965057373047,-41.349647521972656,244.6695556640625
220.43524169921875,-41.13199234008789,247.21348571777344
211.8268280029297,-40.89181137084961,249.75526428222656
202.58709716796875,-40.5922737121582,252.4850616455078
194.71229553222656,-40.312103271484375,254.8424072265625
186.23521423339844,-39.98825454711914,257.4609375
177.8115234375,-39.634056091308594,260.1242370605469
168.7997589111328,-39.2108039855957,262.9945068359375
160.48208618164062,-38.77350616455078,265.6305236816406
152.2199249267578,-38.31234359741211,268.23553466796875
144.0128173828125,-37.852054595947266,270.808837890625
135.86038208007812,-37.382564544677734,273.353515625
127.75867462158203,-36.88915252685547,275.8525085449219
119.70065307617188,-36.36410903930664,278.2779235839844
111.70204162597656,-35.819061279296875,280.67041015625
103.77497863769531,-35.25446701049805,283.0462341308594
95.91548919677734,-34.68086242675781,285.3930358886719
88.12715911865234,-34.09312057495117,287.7047424316406
79.97325134277344,-33.45241928100586,290.1041259765625
72.83068084716797,-32.87477111816406,292.18292236328125
66.18045806884766,-32.31949234008789,294.0961608886719
60.02418518066406,-31.784683227539062,295.84320068359375
54.271522521972656,-31.270349502563477,297.44268798828125
48.63003921508789,-30.766271591186523,298.9217834472656
43.00217056274414,-30.28420066833496,300.1021423339844
37.38418197631836,-29.829227447509766,300.828369140625
31.801998138427734,-29.391740798950195,301.12786865234375
25.84161376953125,-28.93651008605957,301.0254821777344
20.7841854095459,-28.5587100982666,300.5263366699219
14.974932670593262,-28.127599716186523,299.4317321777344
9.681448936462402,-27.7224178314209,297.9515380859375
4.487632751464844,-27.284685134887695,296.0114440917969
-0.5659542679786682,-26.79436683654785,293.6048583984375
-5.392941951751709,-26.313079833984375,290.67596435546875
-9.893424034118652,-25.88632583618164,287.1915588378906
-14.366830825805664,-25.48255157470703,282.8939208984375
-18.25450325012207,-25.148984909057617,278.5018615722656
-21.95880126953125,-24.847806930541992,273.7789001464844
-25.48682403564453,-24.586212158203125,268.727783203125
-28.937808990478516,-24.35340118408203,263.42596435546875
-32.46039581298828,-24.149539947509766,257.9804992675781
-36.16646194458008,-23.96380043029785,252.4730224609375
-40.05223083496094,-23.799152374267578,246.9062042236328
-44.05219268798828,-23.680187225341797,241.23602294921875
-48.45037841796875,-23.599531173706055,235.0039520263672
-52.88644027709961,-23.53261947631836,228.67398071289062
-57.01277160644531,-23.465091705322266,222.72213745117188
